Iteration,Total Reward,Actual MIS Size,Generated MIS Size,Line 1 Count,Line 2 Count,Line 3 Count,Line 4 Count,Line 5 Count,Line 6 Count,Line 7 Count,Line 8 Count,Line 9 Count,Line 10 Count,Adjacency Matrix
34,4,10,4,6,3,3,1,2,0,0,2,2,2,"0,0,0,0,0,0,0,1,1,0;0,0,1,0,1,0,1,0,1,1;0,1,0,1,0,1,0,0,1,0;0,0,1,0,0,0,0,0,0,0;0,1,0,0,0,0,0,1,1,0;0,0,1,0,0,0,1,1,0,1;0,1,0,0,0,1,0,0,0,1;1,0,0,0,1,1,0,0,0,0;1,1,1,0,1,0,0,0,0,0;0,1,0,0,0,1,1,0,0,0"
35,-0.1,10,5,2,1,1,1,0,0,0,0,0,0,"0,0,0,0,0,1,0,0,0,1;0,0,0,1,1,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,1,0,0,1,0,0,0,1,0;0,1,1,1,0,0,1,1,0,0;1,0,0,0,0,0,0,0,0,1;0,0,0,0,1,0,0,0,1,0;0,0,0,0,1,0,0,0,0,0;0,0,0,1,0,0,1,0,0,0;1,0,0,0,0,1,0,0,0,0"
36,1,10,5,6,2,4,3,1,0,0,1,1,1,"0,0,0,0,0,1,0,1,1,0;0,0,1,0,0,1,0,0,1,0;0,1,0,1,0,1,0,0,1,1;0,0,1,0,1,1,1,1,0,0;0,0,0,1,0,1,0,1,0,0;1,1,1,1,1,0,0,1,0,0;0,0,0,1,0,0,0,0,0,0;1,0,0,1,1,1,0,0,0,1;1,1,1,0,0,0,0,0,0,1;0,0,1,0,0,0,0,1,1,0"
37,-0.1,10,6,4,1,3,3,0,0,0,0,0,0,"0,1,1,1,0,0,0,0,0,0;1,0,1,0,1,0,0,1,1,0;1,1,0,0,0,0,1,0,1,1;1,0,0,0,0,1,0,0,1,0;0,1,0,0,0,1,0,0,0,0;0,0,0,1,1,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,1,1,1,0,0,0,0,0,0;0,0,1,0,0,0,0,0,0,0"
38,1,10,4,6,2,4,3,1,0,0,1,1,1,"0,0,1,0,0,1,1,1,0,0;0,0,1,1,0,0,0,0,0,0;1,1,0,0,0,1,0,0,0,1;0,1,0,0,0,0,0,1,0,0;0,0,0,0,0,0,1,1,0,0;1,0,1,0,0,0,0,0,0,0;1,0,0,0,1,0,0,1,0,0;1,0,0,1,1,0,1,0,1,1;0,0,0,0,0,0,0,1,0,1;0,0,1,0,0,0,0,1,1,0"
39,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,1,1,1,1,0,0,0,1,0;1,0,0,1,0,0,0,0,0,0;1,0,0,1,0,0,0,0,1,1;1,1,1,0,0,0,1,1,0,0;1,0,0,0,0,0,1,0,0,1;0,0,0,0,0,0,1,0,0,0;0,0,0,1,1,1,0,1,0,0;0,0,0,1,0,0,1,0,0,0;1,0,1,0,0,0,0,0,0,1;0,0,1,0,1,0,0,0,1,0"
40,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,0,1,0,0,0,0,0,0;0,0,0,1,0,1,0,0,0,0;0,0,0,1,0,1,1,1,1,0;1,1,1,0,0,0,0,0,1,0;0,0,0,0,0,1,0,0,1,0;0,1,1,0,1,0,0,1,0,0;0,0,1,0,0,0,0,1,1,1;0,0,1,0,0,1,1,0,1,0;0,0,1,1,1,0,1,1,0,1;0,0,0,0,0,0,1,0,1,0"
41,1,10,4,6,2,4,3,1,0,0,1,1,1,"0,0,0,1,1,0,0,1,0,1;0,0,1,0,0,1,1,1,0,0;0,1,0,0,0,0,1,1,1,1;1,0,0,0,0,0,0,1,0,0;1,0,0,0,0,0,0,1,1,0;0,1,0,0,0,0,1,0,1,0;0,1,1,0,0,1,0,1,0,0;1,1,1,1,1,0,1,0,1,1;0,0,1,0,1,1,0,1,0,0;1,0,1,0,0,0,0,1,0,0"
42,1,10,1,7,3,4,2,2,1,1,1,1,1,"0,0,0,0,1,1,0,0,1,0;0,0,0,0,0,0,0,0,1,1;0,0,0,0,1,1,0,0,0,0;0,0,0,0,0,1,0,0,1,0;1,0,1,0,0,0,1,0,0,0;1,0,1,1,0,0,0,0,1,1;0,0,0,0,1,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;1,1,0,1,0,1,1,0,0,0;0,1,0,0,0,1,0,0,0,0"
43,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,1,0,0;0,0,0,0,1,1,0,1,0,1;0,0,0,0,0,0,0,0,1,0;0,0,1,0,0,0,0,0,1,0;0,0,1,0,0,0,1,0,0,1;0,0,0,0,0,1,0,0,1,1;0,1,1,0,0,0,0,0,0,1;0,0,0,1,1,0,1,0,0,0;1,0,1,0,0,1,1,1,0,0"
